Designator,Mid X, Mid Y, Layer, Rotation
J5,0,-0.449999,TOP,-180
R13,0.957199,-4.49999,TOP,-180
R14,-0.957199,-4.49999,TOP,0
U2,1.905,-14.84,TOP,270
L1,-4.7385,-16.64,TOP,-90
U1,-4.1546,-7.62,TOP,0
C3,-4.36179,-4.445,TOP,0
R7,-5.3848,-5.65,TOP,180
R4,-6.0706,-6.94281,TOP,270
R9,-6.07299,-8.55119,TOP,90
C1,-1.9084,-8.32,TOP,180
U3,1.155,-7.62,TOP,180
R11,5.2578,-8.89,TOP,180
R10,3.05501,-8.29719,TOP,90
R8,3.05501,-6.74779,TOP,270
C4,-1.0912,-6.92,TOP,0
C7,2.9718,-4.699,TOP,0
C8,-3.48719,-12.935,TOP,0
D2,0.2286,-18.015,TOP,180
C5,4.064,-18.015,TOP,0
Q1,4.7386,-7.493,TOP,0
R17,6.3246,-7.4168,TOP,270
R16,-3.4544,-5.65,TOP,180
C2,-5.49661,-13.4778,TOP,270
R12,-6.62361,-13.4778,TOP,90
R6,6.35,-13.7478,TOP,270
C6,6.35,-18.4722,TOP,270
R5,-1.4986,-10.395,TOP,180
R1,-0.8128,-11.665,TOP,180
R2,1.0922,-11.665,TOP,180
